Country,Season,Year,Sampling site,Stream_Velocity,Stream_Depth,Steam_Width,Water_temperature,Turbidity,pH,Conductivity,DO_conc,DO_sat,BOD,NH4,NO3,PO4,Chironomidae,Baetidae,Hydropsychidae,Hydroptilidae,Libellulidae,Leptophlebidae
Ecuador,Dry,2005,Ecu_1,0.36,0.1,3.6,21.6,NA,7.01,79.9,8.08,92.4,NA,NA,NA,NA,16,1,11,0,4,1
Ecuador,Dry,2006,Ecu_1,0.66,0.15,4.2,22.8,NA,6.9,112.2,8.06,95,NA,NA,NA,NA,119,106,183,0,0,2
Ecuador,Wet,2005,Ecu_1,0.41,0.25,2.53,26.1,NA,6.96,97.2,7.59,97,NA,NA,NA,NA,6,37,28,0,3,9
Ecuador,Wet,2006,Ecu_1,0.35,0.23,4.8,25.6,NA,6.95,100.6,7.79,97.5,NA,NA,NA,NA,287,976,32,4,4,19
Ecuador,Dry,2005,Ecu_2,0.05,0.5,3,22.3,NA,7.51,102.3,7.31,87,NA,NA,NA,NA,13,3,0,1,1,0
Ecuador,Dry,2006,Ecu_2,0.34,0.55,4.8,24,NA,6.7,92,8.1,96.5,NA,NA,NA,NA,2,4,0,0,0,0
Ecuador,Wet,2005,Ecu_2,0.7,0.51,3.8,25.1,NA,5.99,54.4,6.27,85.5,NA,NA,NA,NA,13,27,3,0,0,2
Ecuador,Wet,2006,Ecu_2,0.15,0.6,5.2,24.4,NA,6.96,58.7,7.93,96.3,NA,NA,NA,NA,28,40,0,0,4,3
Ecuador,Dry,2005,Ecu_3,0.31,0.18,2,20.5,NA,7.12,51.6,8.41,94.7,NA,NA,NA,NA,0,6,16,0,4,3
Ecuador,Wet,2005,Ecu_3,0.4,0.37,4.25,22.1,NA,6.19,47.6,7.73,94.6,NA,NA,NA,NA,26,5,7,0,0,6
Ecuador,Dry,2005,Ecu_4,0.15,0.7,11.2,21.3,NA,7.3,35.4,8.97,99.3,NA,NA,NA,NA,2,0,0,0,1,0
Ecuador,Wet,2005,Ecu_4,0.16,0.8,0.55,23,NA,6.9,30.1,7.77,95.8,NA,NA,NA,NA,6,1,24,0,0,29
Ecuador,Dry,2005,Ecu_5,0.47,0.25,7,23.8,NA,7.2,238.8,7.03,84.1,NA,NA,NA,NA,3,2,0,3,4,0
Ecuador,Dry,2006,Ecu_5,0.47,0.55,5.65,23.9,NA,6.8,236.8,7.21,85.6,NA,NA,NA,NA,14,6,0,0,0,0
Ecuador,Wet,2005,Ecu_5,0.41,0.65,7,25.4,NA,6.3,80.7,6.76,86.9,NA,NA,NA,NA,1,0,0,0,1,0
Ecuador,Wet,2006,Ecu_5,0.8,1,12.1,26.2,NA,6.94,129.2,6.91,87.5,NA,NA,NA,NA,35,982,11,1,2,7
Ecuador,Dry,2005,Ecu_6,0.89,0.3,5.1,23.1,NA,8.31,213.9,8.1,97.8,NA,NA,NA,NA,17,10,26,0,13,15
Ecuador,Dry,2006,Ecu_6,0.67,0.45,4,24.1,NA,6.8,116.6,8.27,98.5,NA,NA,NA,NA,37,105,45,1,3,2
Ecuador,Wet,2005,Ecu_6,0.57,0.79,13,25.5,NA,7.12,61.2,7.62,97.2,NA,NA,NA,NA,22,3,0,0,0,0
Ecuador,Wet,2006,Ecu_6,1.26,1.2,8.9,24.6,NA,6.98,63.4,8.04,99.2,NA,NA,NA,NA,9,155,3,0,1,2
Ecuador,Dry,2005,Ecu_7,0.18,0.6,9,19.5,NA,7.7,55.6,8.32,91.5,NA,NA,NA,NA,10,1,2,0,0,0
Ecuador,Dry,2006,Ecu_7,0.2,0.75,7.9,20.1,NA,6.86,64.5,8.94,98.6,NA,NA,NA,NA,260,0,11,0,0,0
Ecuador,Wet,2005,Ecu_7,1.14,0.84,7.75,20.5,NA,6.6,40.2,7.28,92.4,NA,NA,NA,NA,4,8,9,0,0,1
Ecuador,Wet,2006,Ecu_7,1.39,1.1,10,19.9,NA,7.04,45.2,8.22,93,NA,NA,NA,NA,139,131,52,1,3,2
Ecuador,Dry,2005,Ecu_8,0.24,0.2,6.6,21.6,NA,8.09,102.9,8.03,94.3,NA,NA,NA,NA,16,4,1,0,6,2
Ecuador,Dry,2006,Ecu_8,0.25,0.3,6.51,22.8,NA,7.38,101.3,8.14,95.7,NA,NA,NA,NA,20,8,2,0,0,0
Ecuador,Wet,2005,Ecu_8,0.61,0.37,5.04,24.7,NA,7.27,83.9,7.05,92,NA,NA,NA,NA,1,16,14,0,2,1
Ecuador,Wet,2006,Ecu_8,0.47,0.55,7.2,23.5,NA,6.97,72.1,7.68,95,NA,NA,NA,NA,22,69,79,0,20,23
Ecuador,Dry,2005,Ecu_9,0.5,0.5,9.2,21.7,NA,7.85,80.4,7.74,87.1,NA,NA,NA,NA,6,7,1,1,3,1
Ecuador,Dry,2006,Ecu_9,0.27,0.6,10.5,22.6,NA,7.25,78.5,8.16,94.9,NA,NA,NA,NA,4,12,2,0,0,0
Ecuador,Wet,2005,Ecu_9,0.8,0.8,14,22.8,NA,6.6,45.7,7.17,89.9,NA,NA,NA,NA,8,22,6,0,0,0
Ecuador,Wet,2006,Ecu_9,1.59,1.2,13,21.3,NA,7.02,49.7,7.68,92.4,NA,NA,NA,NA,87,1060,135,1,4,30
Ecuador,Dry,2005,Ecu_10,0.04,0.9,9,23.6,NA,6.45,86.3,2.7,33.8,NA,NA,NA,NA,5,16,0,0,0,0
Ecuador,Dry,2006,Ecu_10,0.09,0.65,9.3,25,NA,6.52,87,7.62,92.6,NA,NA,NA,NA,8,14,2,3,0,0
Ecuador,Wet,2005,Ecu_10,0.18,1,13.11,26.3,NA,5.94,67.9,3.8,50.9,NA,NA,NA,NA,1,0,0,0,0,0
Ecuador,Wet,2006,Ecu_10,0.37,1.2,13,26.5,NA,6.91,89.2,5.81,78.1,NA,NA,NA,NA,43,90,0,0,17,0
Ecuador,Dry,2005,Ecu_11,0.33,2,25,23.1,NA,7.07,354.2,4.22,50.5,NA,NA,NA,NA,47,0,0,0,0,0
