"","Punto","Baetidae","Leptohyphidae","Leptophlebiidae","Heptageniidae","Isonychiidae","Caenidae","Coenagrionidae","Calopterygidae","Libellulidae","Gomphidae","Lestidae","Platystictidae","Aeshnidae","Corduliidae","Perlidae","Veliidae","Mesovellidae","Gerridae","Naucoridae","Belostomatidae","Notonectidae","Hebridae","Corydalidae","Elmidae","Staphylinidae","Gyrinidae","Scarabaeidae","Curculionidae","Psephenidae","Hydrophilidae","Chrysomelidae","Dryopidae","Ptilodactylidae","Heteroceridae","Dytiscidae","Scirtidae","Hydraenidae","Lutrochidae","Hydrochidae","Limnichidae","Chironomidae","Simuliidae","Tabanidae","Ceratopogonidae","Stratiomyidae","Tipulidae","Psychodidae","Empididae","Culicidae","Dolichopodidae","Syrphidae","Muscidae","Dixidae","Chaoboridae","Hydropsychidae","Calamoceratidae","Hydroptilidae","Leptoceridae","Helicopsychidae","Polycentropodidae","Hydrobiosidae","Philopotamidae","Limnephilidae","Odontoceridae","Glossosomatidae","Lepidostomatidae","Crambidae","Cosmopterygidae","Collembola","Pseudothelphusidae","Isopoda","Arachnida","Clitellata","Hirudinida","Gastropoda","Bivalva","Platyhelminthes","Cloru","SO4","HCO3","NO2","NH4","pH","Temp","Cond","TDS","OD"
"1","CHA_RCh_1",1,9,0,0,0,0,4,1,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,7.6,34.33,12.6,0.061,0.161,7.86,18.04,131,89.7,8.86
"2","CHA_RCh_1",59,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,19,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,23,46,0,0.146,7.9,18.9,149,153.3,8.9
"3","CHA_RCh_1",106,0,0,0,0,0,2,27,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,63,0,2,1,6,0,1,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5.94,1,41,0.056,0.23,7.9,17.9,480,146.9,7.64
"4","CHA_RCh_1",1,48,0,0,0,0,25,5,12,0,0,0,0,0,0,3,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,2.67,44,33,0.016,0.17,7.64,20.6,175,109.85,7.63
"5","CHA_RCh_1",9,49,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,1,0,0,0,0,0,0,0,0,0,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78,25.58,33.15,0.033,0.18,7.63,18.1,101,124.94,7.46
"6","CHA_RCh_2",9,11,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,21,0,0,0,1,1,1,3,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.04,28,54.4,0.054,0.238,7.96,18.92,179,115.7,8.5
"7","CHA_RCh_2",2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,72,0.0164285,0.207,7.8,19.6,168,87.2,8.6
"8","CHA_RCh_2",352,5,0,0,0,0,1,13,5,0,0,0,0,0,0,7,0,1,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,101,2,0,0,0,1,0,0,0,0,0,0,0,0,24,0,1,0,0,0,6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7.14,39,61,0.049,0.13,8.4,18.9,571,195,7.61
"9","CHA_RCh_2",10,79,1,0,0,0,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,0,0,0,0,0,0,0,31,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,45,83,0.016,0.11,8.13,19.06,217,146.25,8.58
"10","CHA_RCh_2",6,15,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,2,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,5.55,33.5,67.6,0.027,0.17,8.11,19.11,136,136.04,5.62
